Name,State,Type,Full_Location,Latitude,Longitude,Coal Consumption ,Coal type,Supply,Demand,Distance from plant,Length (km)
Viswa Traders,Andhra Pradesh,Brick Manufacturer,"Room No -1,Genco Gayatri Circle,Genco Gayatri Circle,Masunurupalem,Spsr Nellore, Muttukuru-524344, Andhra Pradesh, India",14.34501577,80.10331382,,,,0,21,
Nagarjuna Cement ACC Fly ash bricks,Andhra Pradesh,Brick Manufacturer,"83XW+F9C, Brahmadevam - Koduru Rd, Andhra Pradesh 524344",14.3560145,80.10556687,,,,0,25,
JR Infra Projects,Andhra Pradesh,Brick Manufacturer,"7/51 Ranganayukulu Peta Masjid Street Nellore Sri Potti Sriramulu, Nellore-524001, Andhra Pradesh, India",14.42577247,79.97142247,,,,0,37,
Malavika cement bricks,Andhra Pradesh,Brick Manufacturer,"near Powergrid, Manubolu, Andhra Pradesh 524405",14.23146874,79.90192557,,,,0,38,
Sri Ramadevi Cement And Flyash Bricks,Andhra Pradesh,Brick Manufacturer,"NH-5, chemudugunta village,venkatachalam mandalam, Nellore, Andhra Pradesh 524004",14.38452559,79.94806812,,,,0,40,
"Eco Earth Bricks and Blocks ,Light weight Bricks, Fly ash Bricks, interlocking Bricks, Earth Blocks, Mud Blocks",Andhra Pradesh,Brick Manufacturer,"near Indian oil petrol pump, Padugupadu, Kovur, Andhra Pradesh 524137",14.50736349,80.02908848,,,,0,40,
SVS Cement & Flyash Bricks,Andhra Pradesh,Brick Manufacturer,"Plot no 53, Wood Complex, near railway gate, Jyothi Nagar, Nellore, Andhra Pradesh 524004",14.40175621,79.95554262,,,,0,41,
Naidu interlock bricks & cement works,Andhra Pradesh,Brick Manufacturer,"Doravarisatram Bridge down, road, beside nelapattu, Doravarichatram, Andhra Pradesh 524126",13.84297519,79.99648417,,,,0,66,
Tanvi Industries,Andhra Pradesh,Brick Manufacturer,"VALLURU DINESH RAM,TANVI INDUSTRIES- SURVEY NO 485-1B, ANUMASAMUDHRAM(V),A S PETA(M), SPSR NELLORE(DT), ANDHRA PRADESH,524304. PH:-9030755813., Nellore-524304, Andhra Pradesh, India",14.68146164,79.66912414,,,,0,87,
Siddha Ash Bricks,Tamil Nadu,Brick Manufacturer,"B.No. 49,S. No. 47, 4/5B, Gopal Reddy Kandigay, Pappan Kuppam, Perungudi, Gummidipoondi, Tiruvallur-601201, Tamil Nadu, India",13.41114355,80.11719611,,,,0,118,
Vallamai Enterprises,Tamil Nadu,Brick Manufacturer,"26, Taluk Office Road, Ponneri, Thiruvallur, Sholavaram, Ponneri, Tiruvallur-601204, Tamil Nadu, India
",13.2355443,80.17626974,,,,0,139,
Deepam Enterprises,Tamil Nadu,Brick Manufacturer,"No. AP, 323A, 8th Sector, 39th Street, Kk Nagar, Chennai-600078, Tamil Nadu, Ind",13.20657627,80.17744496,,,,0,141,
Sri Praveen Enterprises,Tamil Nadu,Brick Manufacturer,"25, Indira Nagar First Main Road, Nanganallur, Chennai-600061, Tamil Nadu, India
",13.13896326,80.18511741,,,,0,151,
Brickbus Technologies Pvt Ltd,Tamil Nadu,Brick Manufacturer,"No.8/3B, Girija Nagar West, Kolathur, Chennai-600099, Tamil Nadu, India",13.12910935,80.21738459,,,,0,152,
Arunachala Interlocking,Tamil Nadu,Brick Manufacturer,"No.41, 10th Street, Kamaraj Nagar,Avadi, Tiruvallur-600071, Tamil Nadu, India
",13.20803314,80.14620637,,,,0,152,
